Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/auth/v1/token (login),40,7,640.0,861.6711697499999,459.08354200000014,2257.584209,2068.225,0.6758659225767504,0.11827653645093132,640,650,1100,1300,2100,2300,2300,2300,2300,2300,2300
OPTIONS,/functions/v1/ai-coach [OPTIONS],585,0,150.0,158.87799679829064,80.3420829999979,727.6128749999984,2.0,9.884539117684975,0.0,150,160,170,170,190,270,310,490,730,730,730
POST,/functions/v1/ai-coach [POST],238,0,190.0,213.334873420168,110.02387500000133,554.6567089999996,571.6806722689075,4.021402239331665,0.0,190,200,210,220,250,500,530,540,550,550,550
OPTIONS,/functions/v1/receipt-scanner [OPTIONS],372,0,150.0,159.31401365591407,85.44920900000008,539.701708,2.0,6.285553079963779,0.0,150,160,170,170,180,240,310,330,540,540,540
OPTIONS,/functions/v1/send-notifications [OPTIONS],398,0,160.0,178.15144031909568,86.848707999998,1366.1073749999987,2.0,6.724865929638667,0.0,160,170,180,180,200,290,460,720,1400,1400,1400
POST,/functions/v1/send-notifications [POST],106,0,1700.0,1774.22246814151,1229.5645419999985,3276.122458999999,79.0,1.7910446948283887,0.0,1700,1800,2000,2000,2700,2800,2800,3000,3300,3300,3300
GET,/rest/v1/ [anon guard],189,0,49,56.73698499999985,29.136667000003058,233.3510420000007,98.0,3.1934664841751457,0.0,49,53,57,62,78,89,190,210,230,230,230
GET,/rest/v1/profiles [GET],51,0,340.0,354.6598938627454,317.1197910000032,900.489334,622.0,0.8617290512853568,0.0,340,340,340,340,360,410,580,900,900,900,900
GET,/rest/v1/transactions [GET],52,0,340.0,349.93616588461583,328.75475000000165,458.0726669999997,11084.0,0.8786256993497755,0.0,340,350,350,360,370,430,440,460,460,460,460
,Aggregated,2031,7,160.0,267.56694639044855,29.136667000003058,3276.122458999999,421.70605612998526,34.3170922188345,0.11827653645093132,160,180,190,210,350,1300,1800,2200,2800,3300,3300
